permGrp,perm,field,from,to
FK01,S_TCODE,TCD,FK01,
FK01,F_LFA1_GEN,ACTVT,01,02
FK01,F_LFA1_GRP,ACTVT,01,02
FK01,F_LFA1_BUK,ACTVT,01,02
FK01,F_LFA1_BUK,BUKRS,PUNE,
